,fsr_med,is_walking,x_energy,x_mean,x_var,y_energy,y_mean,y_var,z_energy,z_mean,z_var
101,2.0,0.0,2.242e-05,-0.1334,2.26666666667e-05,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
152,539.0,0.0,0.50921294,-0.2808,0.514880161616,0.93089158,0.16,0.942248484848,0.003155145,0.9825,0.0031946969697
203,526.0,0.0,0.50943912,-0.28,0.515115151515,0.93089158,0.16,0.942248484848,0.003155145,0.9825,0.0031946969697
254,337.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,3.50449187066e-18
305,255.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,3.50449187066e-18
356,303.5,0.0,0.000142345,-0.1279,0.00014403030303,0.00041832,0.0136,0.000423272727273,0.00140602,0.9966,0.00142266666667
407,330.0,0.0,0.000142345,-0.1279,0.00014403030303,0.00041832,0.0136,0.000423272727273,0.00140602,0.9966,0.00142266666667
458,365.0,0.0,2.905e-06,-0.1297,2.93939393936e-06,2.6145e-05,0.0109,2.64545454544e-05,2.6145e-05,0.9891,2.64545454545e-05
509,372.0,0.0,2.905e-06,-0.1297,2.93939393936e-06,2.6145e-05,0.0109,2.64545454544e-05,2.6145e-05,0.9891,2.64545454545e-05
560,361.5,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,1.78729085404e-18
611,352.5,0.0,0.01449616,-0.1128,0.0146425858586,0.33108516,-0.0722,0.334429454545,0.29658916,0.9122,0.299585010101
662,358.5,0.0,0.01449616,-0.1128,0.0146425858586,0.33108516,-0.0722,0.334429454545,0.29658916,0.9122,0.299585010101
713,370.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
764,370.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
815,376.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
866,380.0,0.0,0.357898905,-0.0247,0.362136272727,0.495502945,-0.1139,0.501369484848,0.037093945,1.0239,0.0375331212121
917,384.5,0.0,0.357645465,-0.0229,0.361859181818,0.49825846,-0.1076,0.504242666667,0.15290646,1.0848,0.154491878788
968,406.0,0.0,0.16767738,-0.2002,0.169676727273,0.109056465,-0.0413,0.110387181818,0.19485382,1.0044,0.197469333333
1019,408.5,0.0,0.167328,-0.202,0.169309090909,0.10708992,-0.0476,0.108357818182,0.069792625,0.9435,0.0706189393939
1070,407.5,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
1121,411.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
1172,365.0,0.0,0.14714896,-0.1848,0.148635313131,0.08479744,0.0516,0.085653979798,0.12545764,0.9394,0.126724888889
1223,359.0,0.0,0.432275945,-0.2805,0.437156313131,1.004570665,0.2217,1.01634152525,0.12585238,0.934,0.127125252525
1274,312.0,0.0,0.295615705,-0.2257,0.299115666667,0.933925545,0.1801,0.944982818182,0.00094122,0.9846,0.000952363636364
1325,323.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
1376,342.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
1427,351.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
1478,369.5,0.0,0.002401,-0.137,0.00242525252525,0.00254016,0.0028,0.00256581818182,0.007056,1.002,0.00712727272727
1529,380.0,0.0,0.002401,-0.137,0.00242525252525,0.00254016,0.0028,0.00256581818182,0.007056,1.002,0.00712727272727
1580,368.5,0.0,0.17441718,-0.2032,0.176484606061,0.44890092,-0.107,0.454227272727,0.02008102,1.014,0.0203212121212
1631,366.0,0.0,0.17441718,-0.2032,0.176484606061,0.44890092,-0.107,0.454227272727,0.02008102,1.014,0.0203212121212
1682,370.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
1733,365.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
1784,368.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
1835,377.5,0.0,0.0,-0.13,0.0,1.162e-05,0.0106,1.17575757574e-05,4.648e-05,0.9888,4.70303030303e-05
1886,382.0,0.0,0.0,-0.13,0.0,1.162e-05,0.0106,1.17575757574e-05,4.648e-05,0.9888,4.70303030303e-05
1937,359.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
1988,367.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,1.96e-06,0.9902,1.97979797975e-06
2039,378.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,1.96e-06,0.9902,1.97979797975e-06
2090,382.0,0.0,0.450683745,-0.0649,0.456534333333,0.80929882,-0.155,0.818766666667,0.139269385,0.9099,0.140807060606
2141,384.0,0.0,0.450683745,-0.0649,0.456534333333,0.80929882,-0.155,0.818766666667,0.139269385,0.9099,0.140807060606
2192,386.0,0.0,0.147065625,-0.1975,0.148806818182,0.335818,-0.092,0.339793939394,0.005371345,1.0029,0.00543493939394
2243,387.0,0.0,0.147065625,-0.1975,0.148806818182,0.335818,-0.092,0.339793939394,0.005371345,1.0029,0.00543493939394
2294,389.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,0.0
2345,386.0,0.0,0.02637376,-0.1068,0.0266401616162,0.31516996,0.0902,0.318353494949,0.142884,0.936,0.144327272727
2396,382.0,0.0,0.02637376,-0.1068,0.0266401616162,0.31516996,0.0902,0.318353494949,0.142884,0.936,0.144327272727
2447,381.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,1.96e-06,0.9902,1.97979797975e-06
2498,383.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,1.96e-06,0.9902,1.97979797975e-06
2549,389.0,0.0,0.419482,-0.016,0.424448484848,0.09204202,0.0634,0.0931317575758,0.33978042,0.8874,0.343803272727
2600,384.0,0.0,0.419482,-0.016,0.424448484848,0.09204202,0.0634,0.0931317575758,0.33978042,0.8874,0.343803272727
2651,344.5,0.0,0.337796305,-0.0277,0.341795666667,0.136793545,-0.0551,0.138413121212,0.266705145,0.8991,0.269862818182
2702,330.0,0.0,0.357050985,-9.99999999999e-05,0.36097069697,0.149196985,-0.0767,0.150810212121,0.65166166,0.7872,0.658268848485
2753,332.0,0.0,0.02457884,-0.1022,0.0248698585859,0.01515172,-0.0106,0.0153309494949,0.404267105,0.8785,0.409053282828
2804,353.0,0.0,1.96e-06,-0.1298,1.97979797951e-06,4.9e-05,0.011,4.94949494948e-05,7.84e-06,0.9904,7.91919191933e-06
2855,381.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,1.96e-06,0.9902,1.97979797994e-06
2906,384.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,1.96e-06,0.9902,1.97979797994e-06
2957,380.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,1.37938716548e-16
3008,365.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,1.37938716548e-16
3059,367.5,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,1.37938716548e-16
3110,383.0,0.0,0.0,-0.13,0.0,1.50463276905e-36,0.01,0.0,6.16297582204e-33,0.99,1.37938716548e-16
3161,352.0,0.0,0.07150276,-0.1682,0.072225010101,0.15038884,-0.0454,0.151907919192,0.0196,1.01,0.019797979798
3212,2.0,0.0,0.07150276,-0.1682,0.072225010101,0.15038884,-0.0454,0.151907919192,0.0196,1.01,0.019797979798
9,2.0,0.0,0.000368985,-0.1301,0.000372717171717,9e-06,0.009,9.09090909071e-06,0.01920996,0.9702,0.019404
60,2.0,0.0,0.24538326,-0.2232,0.248286626263,0.006113705,-0.0055,0.00618661616162,0.019847545,0.9651,0.0200494848485
111,2.0,0.0,0.49450126,-0.3224,0.499497212121,0.05402218,0.0338,0.0547207676768,0.22616134,0.9012,0.228792484848
162,494.0,0.0,0.266165065,-0.2341,0.269323424242,0.04686208,0.048,0.0474181818182,0.226128105,0.9063,0.228805363636
213,472.0,1.0,4.304e-05,-0.1364,4.34747474742e-05,9.785e-06,0.0089,9.88888888869e-06,6.16297582204e-33,0.99,1.25600988644e-16
264,419.0,1.0,0.157048745,-0.0835,0.15863510101,0.01059256,-0.0012,0.0106995555556,0.04769856,0.9588,0.0481803636364
315,404.0,1.0,0.157644145,-0.0891,0.159236555556,0.010817385,0.0069,0.0109266565657,0.04769856,0.9588,0.0481803636364
366,396.0,1.0,5.4505e-05,-0.1507,5.50606060601e-05,1.716e-05,0.0222,1.73333333331e-05,6.16297582204e-33,0.99,1.25600988644e-16
417,391.5,1.0,4.242e-05,-0.1566,4.28686868682e-05,9.9385e-05,0.0181,0.000100393939394,0.00094864,0.9856,0.000958222222222
468,393.5,1.0,7.122e-05,-0.1626,7.19595959591e-05,0.000108905,0.0147,0.00011001010101,0.000948905,0.9853,0.000958494949495
519,396.0,1.0,0.00011674,-0.1718,0.000117939393939,0.000444945,0.0149,0.000449484848485,0.060907705,1.0227,0.0615229393939
570,406.0,1.0,0.000136985,-0.1701,0.000138373737373,0.00046674,0.0118,0.000471474747475,0.060885,1.023,0.0615
621,405.0,1.0,2.4985e-05,-0.1649,2.5242424242e-05,1.7705e-05,0.0077,1.78888888887e-05,6.16297582204e-33,0.99,1.07657990267e-16
672,393.5,1.0,1.8745e-05,-0.1625,1.89393939389e-05,2.462e-05,0.0056,2.48888888887e-05,6.16297582204e-33,0.99,1.07657990267e-16
723,382.5,1.0,2.5305e-05,-0.1563,2.55656565652e-05,8.98e-06,0.001,9.09090909072e-06,6.16297582204e-33,0.99,1.07657990267e-16
774,371.0,1.0,2.2745e-05,-0.1535,2.29797979793e-05,4.745e-06,0.0005,4.79797979779e-06,6.16297582204e-33,0.99,1.07657990267e-16
825,371.0,1.0,0.053930345,-0.1991,0.0545698888889,0.009046665,-0.0197,0.00915445454545,0.284711985,1.0833,0.288089
876,374.5,1.0,0.05358128,-0.2032,0.0542159191919,0.00881276,-0.0266,0.00891761616162,0.284711985,1.0833,0.288089
927,329.5,1.0,2.4985e-05,-0.1651,2.52424242419e-05,2.982e-05,-0.0096,3.01414141412e-05,1.96e-06,0.9898,1.97979798e-06
978,330.5,1.0,2.016e-05,-0.1672,2.03636363631e-05,2.2105e-05,-0.0067,2.23333333331e-05,6.505e-06,0.9893,6.57575757596e-06
1029,335.0,1.0,2.498e-05,-0.165,2.5252525252e-05,2.2105e-05,-0.0033,2.23333333331e-05,4.745e-06,0.9895,4.79797979818e-06
1080,348.0,1.0,4.264e-05,-0.1656,4.30707070702e-05,1.824e-05,0.0024,1.8424242424e-05,1.7705e-05,0.9877,1.78888888891e-05
1131,352.0,1.0,4.388e-05,-0.1698,4.44040404035e-05,4.8985e-05,-9.99999999999e-05,4.94848484847e-05,2.3785e-05,0.9839,2.40303030305e-05
1182,352.5,1.0,4.6465e-05,-0.1693,4.69797979793e-05,2.2105e-05,-0.0067,2.23333333331e-05,2.464e-05,0.9844,2.48888888891e-05
1233,340.0,1.0,0.197485185,-0.2411,0.199824030303,6.6745e-05,-0.0015,6.7424242424e-05,0.197654385,0.9101,0.199994939394
1284,341.0,1.0,0.19796056,-0.2388,0.200301575758,0.00049744,0.0084,0.000502464646464,0.339583185,0.9639,0.343357363636
1335,357.0,1.0,0.000163,-0.161,0.000164646464646,0.00048196,0.0098,0.000486828282828,0.13351716,1.0422,0.134865818182
1386,362.0,1.0,1.6505e-05,-0.1607,1.66767676763e-05,2.4e-05,0.006,2.42424242422e-05,6.16297582204e-33,0.99,2.87087974044e-16
1437,346.5,1.0,1.824e-05,-0.1576,1.84242424238e-05,2.4905e-05,0.0053,2.51616161614e-05,6.16297582204e-33,0.99,2.87087974044e-16
1488,333.5,1.0,0.943771105,0.0113,0.954950818182,0.00696084,-0.0058,0.00704278787879,0.091010745,0.9369,0.0920882727273
1539,340.0,1.0,1.05958986,0.0734,1.07092569697,0.177968625,-0.0775,0.179958333333,0.094455145,0.9249,0.095504030303
1590,337.5,1.0,0.135550105,-0.0943,0.137139909091,0.17224348,-0.0698,0.174264606061,0.006028345,0.9711,0.0060906969697
1641,326.0,1.0,0.00016468,-0.163,0.000166666666667,0.000204985,-0.0031,0.000207464646465,0.00153274,0.9822,0.00155066666667
1692,338.0,1.0,0.507952745,-0.0459,0.513961808081,0.22730734,-0.0868,0.22999369697,0.09477276,0.9318,0.0958936969697
1743,341.0,1.0,0.60602716,0.0122,0.612393090909,0.54240856,0.0112,0.549705616162,1.05949014,0.7572,1.07100824242
1794,318.0,1.0,0.11613996,-0.1186,0.117507111111,1.946663785,-0.0851,1.96684746465,0.993068,0.796,1.0047979798
1845,300.5,1.0,0.003724705,-0.1745,0.00376237373737,1.61320736,-0.1792,1.62950238384,0.01582594,0.9702,0.0159858181818
1896,295.0,1.0,0.00258924,-0.1578,0.00261935353535,0.000223785,0.000900000000001,0.000226454545454,0.00102822,0.9804,0.00104024242424
1947,279.5,1.0,0.09485968,-0.112,0.0958181818182,0.821384305,-0.1883,0.829923343434,0.01775846,0.9916,0.0179751919192
1998,299.0,1.0,0.09295494,-0.1192,0.0938963232323,0.82264072,-0.1844,0.831212767677,0.016568545,0.9999,0.0167585757576
2049,315.0,1.0,0.390107305,-0.0545,0.394728030303,0.114540185,0.0641,0.115897161616,0.341770345,0.8871,0.345816757576
2100,334.0,1.0,0.39025984,-0.0552,0.394885818182,0.11438284,0.0654,0.115740242424,0.341613065,0.8863,0.345657888889
2151,323.5,1.0,0.040830065,-0.1293,0.0413116262626,1.63353306,-0.2162,1.65287430303,0.63571912,0.8476,0.643246707071
