timestamp,is_walking,fsr,x_acc,y_acc,z_acc
223260,0,2,-0.14,0.01,0.99
223281,0,2,-0.14,0.00,0.99
223301,0,2,-0.14,0.00,0.99
223322,0,2,-0.14,0.00,0.99
223342,0,2,-0.14,0.00,0.99
223363,0,2,-0.14,0.00,0.99
223383,0,2,-0.14,0.00,0.99
223404,0,2,-0.14,0.00,0.99
223424,0,2,-0.14,0.00,0.99
223444,0,2,-0.14,0.00,0.99
223465,0,2,-0.14,0.00,0.99
223485,0,2,-0.14,0.01,0.99
223505,0,2,-0.14,0.01,0.99
223525,0,2,-0.13,0.01,0.99
223545,0,2,-0.13,0.01,0.99
223565,0,2,-0.14,0.01,0.99
223585,0,2,-0.14,0.01,0.99
223607,0,2,-0.14,0.01,0.99
223627,0,2,-0.14,0.01,0.99
223647,0,2,-0.14,0.01,0.99
223667,0,2,-0.14,0.01,0.99
223682,0,2,-0.14,0.01,0.99
223697,0,2,-0.14,0.01,0.99
223717,0,2,-0.14,0.01,0.99
223737,0,2,-0.14,0.01,0.99
223757,0,2,-0.14,0.01,0.99
223777,0,2,-0.14,0.01,0.99
223797,0,2,-0.14,0.01,0.99
223817,0,2,-0.14,0.01,0.99
223837,0,2,-0.14,0.01,0.99
223857,0,2,-0.14,0.01,0.99
223878,0,2,-0.14,0.01,0.99
223898,0,2,-0.14,0.01,0.99
223919,0,2,-0.14,0.01,0.99
223939,0,2,-0.14,0.01,0.99
223962,0,2,-0.14,0.01,0.99
223982,0,2,-0.14,0.01,0.99
224003,0,2,-0.14,0.01,0.99
224023,0,2,-0.14,0.01,0.99
224044,0,2,-0.14,0.01,0.99
224064,0,2,-0.14,0.01,0.99
224084,0,2,-0.14,0.01,0.99
224105,0,8,-0.14,0.01,0.99
224125,0,2,-0.14,0.01,0.99
224145,0,5,-0.14,0.01,0.99
224165,0,2,-0.14,0.01,0.99
224180,0,2,-0.14,0.01,0.99
224200,0,3,-0.14,0.01,0.99
224220,0,3,-0.14,0.01,0.99
224240,0,2,-0.14,0.01,0.99
224261,0,2,-0.14,0.01,0.99
224281,0,2,-0.14,0.01,0.99
224302,0,2,-0.14,0.01,0.99
224322,0,2,-0.14,0.01,0.99
224345,0,2,-0.14,0.01,0.99
224365,0,2,-0.14,0.01,0.99
224386,0,2,-0.14,0.01,0.99
224406,0,2,-0.14,0.01,0.99
224427,0,2,-0.14,0.01,0.99
224447,0,2,-0.14,0.01,0.99
224467,0,2,-0.14,0.01,0.99
224487,0,2,-0.14,0.01,0.99
224507,0,2,-0.14,0.01,0.99
224527,0,2,-0.14,0.01,0.99
224547,0,2,-0.14,0.01,0.99
224567,0,2,-0.14,0.01,0.99
224587,0,2,-0.14,0.01,0.99
224607,0,2,-0.14,0.01,0.99
224627,0,2,-0.14,0.01,0.99
224647,0,2,-2.39,2.55,-2.12
224662,0,2,-2.39,2.55,-2.12
224677,0,2,-2.39,2.55,-2.12
224699,0,2,-0.14,0.01,0.99
224719,0,2,-0.14,0.01,0.99
224739,0,2,-0.14,0.01,0.99
224759,0,2,-0.14,0.01,0.99
224779,0,24,-0.14,0.01,0.99
224799,0,14,-0.14,0.01,0.99
224819,0,25,-0.14,0.01,0.99
224839,0,80,-0.14,0.01,0.99
224860,0,172,-0.14,0.01,0.99
224880,0,179,-0.14,0.01,0.99
224901,0,180,-0.14,0.01,0.99
224921,0,191,-0.14,0.01,0.99
224942,0,184,-0.14,0.01,0.99
224962,0,190,-0.14,0.01,0.99
224983,0,191,-0.14,0.01,0.99
225003,0,194,-0.14,0.01,0.99
225024,0,168,-0.14,0.01,0.99
225046,0,139,-0.14,0.01,0.99
225067,0,121,-0.14,0.01,0.99
225087,0,138,-0.14,0.01,0.99
225107,0,165,-0.14,0.01,0.99
225127,0,200,-0.14,0.01,0.99
225147,0,221,-2.41,0.10,-1.71
225162,0,245,-2.41,0.10,-1.71
225177,0,254,-2.41,0.10,-1.71
225198,0,257,-0.14,0.01,0.99
225218,0,242,-0.14,0.01,0.99
225239,0,200,-0.14,0.01,0.99
225259,0,109,-0.14,0.01,0.99
225280,0,42,-0.14,0.01,0.99
225300,0,5,-0.14,0.01,0.99
225320,0,4,-0.14,0.01,0.99
225340,0,2,-0.14,0.01,0.99
225360,0,2,-0.14,0.01,0.99
225380,0,2,-0.14,0.01,0.99
225402,0,2,-0.14,0.01,0.99
225422,0,2,-0.14,0.01,0.99
225442,0,2,-0.14,0.01,0.99
225462,0,2,-0.14,0.01,0.99
225482,0,2,-0.14,0.01,0.99
225502,0,2,-0.14,0.01,0.99
225522,0,3,-0.14,0.01,0.99
225542,0,3,-0.14,0.01,0.99
225562,0,3,-0.14,0.01,0.99
225583,0,2,-0.14,0.01,0.99
225603,0,2,-0.14,0.01,0.99
225624,0,2,-0.14,0.01,0.99
225644,0,2,-0.14,0.01,0.99
225659,0,2,-0.14,0.01,0.99
225679,0,2,-0.14,0.01,0.99
225699,0,2,-0.14,0.01,0.99
225719,0,2,-0.14,0.01,0.99
225739,0,2,-0.14,0.01,0.99
225761,0,2,-0.14,0.01,0.99
225781,0,2,-0.14,0.01,0.99
225801,0,11,-0.14,0.01,0.99
225821,0,71,-0.14,0.01,0.99
225841,0,93,-0.14,0.01,0.99
225861,0,125,-0.14,0.01,0.99
225882,0,153,-0.14,0.01,0.99
225902,0,171,-0.14,0.01,0.99
225923,0,170,-0.14,0.01,0.99
225943,0,183,-0.14,0.01,0.99
225964,0,195,-0.14,0.01,0.99
225984,0,193,-0.14,0.01,0.99
226004,0,205,-0.14,0.01,0.99
226025,0,214,-0.14,0.01,0.99
226045,0,212,-0.14,0.01,0.99
226065,0,208,-0.14,0.01,0.99
226085,0,202,-0.14,0.01,0.99
226107,0,199,-0.14,0.01,0.99
226127,0,189,1.83,3.52,3.48
226142,0,174,1.83,3.52,3.48
226162,0,172,-0.13,0.01,0.99
226182,0,157,-0.13,0.01,0.99
226202,0,159,-0.13,0.01,0.99
226223,0,165,-0.13,0.01,0.99
226243,0,173,-0.13,0.01,0.99
226264,1,172,-0.13,0.01,0.99
226284,1,167,-0.13,0.01,0.99
226305,1,160,-0.13,0.01,0.99
226325,1,160,-0.13,0.01,0.99
226345,1,138,-0.13,0.01,0.99
226366,1,137,-0.13,0.01,0.99
226386,1,135,-0.13,0.01,0.99
226406,1,130,-0.13,0.01,0.99
226426,1,137,-0.13,0.01,0.99
226448,1,135,-0.13,0.01,0.99
226468,1,137,-0.13,0.01,0.99
226488,1,138,-0.13,0.01,0.99
226508,1,135,-0.13,0.01,0.99
226528,1,129,-0.13,0.01,0.99
226548,1,137,-0.13,0.01,0.99
226568,1,129,-0.13,0.01,0.99
226588,1,131,-0.13,0.01,0.99
226604,1,118,-0.13,0.01,0.99
226619,1,122,-0.13,0.01,0.99
226639,1,120,-0.13,0.01,0.99
226659,1,117,-0.13,0.01,0.99
226679,1,101,-0.13,0.01,0.99
226699,1,116,-0.13,0.01,0.99
226719,1,117,-0.13,0.01,0.99
226739,1,124,-0.13,0.01,0.99
226759,1,112,-0.13,0.01,0.99
226780,1,128,-0.13,0.01,0.99
226802,1,120,-0.13,0.01,0.99
226822,1,119,-0.13,0.01,0.99
226842,1,120,-0.13,0.01,0.99
226863,1,117,-0.13,0.01,0.99
226883,1,75,-0.13,0.01,0.99
226904,1,46,-0.13,0.01,0.99
226924,1,4,-0.13,0.01,0.99
226945,1,4,-0.13,0.01,0.99
226965,1,4,-0.13,0.01,0.99
226985,1,4,-0.13,0.01,0.99
227006,1,4,-0.13,0.01,0.99
227026,1,4,-0.13,0.01,0.99
227046,1,4,-0.13,0.01,0.99
227066,1,4,-0.13,0.01,0.99
227086,1,4,-0.13,0.01,0.99
227101,1,4,-0.13,0.01,0.99
227121,1,4,-0.13,0.01,0.99
227143,1,7,-0.13,0.01,0.99
227164,1,4,-0.13,0.01,0.99
227184,1,4,-0.13,0.00,0.99
227205,1,4,-0.13,0.00,0.99
227225,1,4,-0.13,0.01,0.99
227246,1,4,-0.13,0.01,0.99
227266,1,4,-0.13,0.01,0.99
227287,1,4,-0.13,0.01,0.99
227307,1,4,-0.13,0.01,0.99
227328,1,4,-0.13,0.01,0.99
227348,1,4,-0.13,0.01,0.99
227368,1,4,-0.13,0.01,0.99
227388,1,4,-0.13,0.01,0.99
227408,1,4,-0.13,0.01,0.99
227428,1,11,-0.13,0.01,0.99
227448,1,52,-0.13,0.00,0.99
227468,1,54,-0.13,0.00,0.99
227488,1,46,-0.14,0.00,0.99
227508,1,32,-0.14,0.00,0.99
227530,1,7,-0.14,0.00,0.99
227550,1,14,-0.14,0.00,0.99
227565,1,4,-0.14,0.00,0.99
227586,1,28,-0.14,0.01,0.99
227606,1,4,-0.14,0.00,0.99
227627,1,4,-0.14,0.00,0.99
227647,1,4,-0.14,0.00,0.99
227667,1,4,-0.14,0.00,0.99
227687,1,4,-0.14,0.00,0.99
227707,1,4,-0.14,0.01,0.99
227727,1,4,-0.14,0.00,0.99
227747,1,4,-0.14,0.01,0.99
227767,1,4,-0.14,0.01,0.99
227787,1,4,-0.14,0.01,0.99
227807,1,4,-0.14,0.01,0.99
227827,1,4,-0.14,0.01,0.99
227847,1,4,-0.14,0.01,0.99
227867,1,4,-0.14,0.01,0.99
227889,1,4,-0.14,0.01,0.99
227909,1,4,-0.14,0.01,0.99
227930,1,62,-0.14,0.01,0.99
227950,1,101,-0.14,0.01,0.99
227971,1,129,-0.14,0.01,0.99
227991,1,157,-0.14,0.01,0.99
228012,1,158,-0.14,0.01,0.99
228032,1,158,-0.14,0.01,0.99
228047,1,162,-0.14,0.01,0.99
228067,1,176,-0.14,0.00,0.99
228087,1,169,-0.14,0.00,0.99
228107,1,163,-0.14,0.00,0.99
228127,1,154,-0.14,0.00,0.99
228147,1,145,-0.14,0.00,0.99
228167,1,149,-0.14,0.00,0.99
228188,1,116,-0.14,0.01,0.99
228208,1,106,-0.14,0.01,0.99
228230,1,96,-0.14,0.01,0.99
228250,1,71,-0.14,0.01,0.99
228271,1,59,-0.14,0.01,0.99
228291,1,34,-0.14,0.01,0.99
228312,1,27,-0.14,0.00,0.99
