,fsr1_med,fsr2_med,is_walking,x_energy,x_mean,x_var,y_energy,y_mean,y_var,z_energy,z_mean,z_var
24,,,,,,,,,,,,
49,0.0,0.0,0.0,0.0,0.06709512079166666,8.433521609140843e-07,0.0,0.036409060145833345,7.159516947547599e-07,0.0,-1.0005779266458332,1.322949919344907e-06
74,0.0,0.0,0.0,0.0,0.06693808243750003,7.611381763603886e-07,0.0,0.03634643560416668,9.134491197911361e-07,0.0,-1.0003363291249998,9.964850827444956e-07
99,0.0,0.0,0.0,0.0,0.06680266077083336,5.068523418357304e-07,0.0,0.03613376629166667,8.714247806882996e-07,0.0,-1.000264485666666,7.975028083076189e-07
124,0.0,0.0,0.0,0.0,0.0669158300416667,6.112421799871996e-07,0.0,0.03630415608333334,6.784312369340774e-07,0.0,-1.000482241270833,7.443916269871989e-07
149,0.0,0.0,0.0,0.0,0.06697495777083337,6.155719561508213e-07,0.0,0.036150932375,5.437106282088797e-07,0.0,-1.0004879633333328,6.798604406512718e-07
174,0.0,0.0,0.0,0.0,0.06708653762500004,5.653112236532503e-07,0.0,0.0360364914375,1.0402989265626352e-06,0.0,-1.0004148483333324,6.962791632885849e-07
199,0.0,0.0,0.0,0.0,0.06712977089583337,6.558871792910632e-07,0.0,0.03599357608333332,1.463936437890332e-06,0.0,-1.0002390543124993,9.626145103965626e-07
224,0.0,0.0,0.0,0.0,0.06700770056250001,3.676416514135855e-05,0.0,0.03572718299999999,6.408349905312554e-06,0.0,-1.00013542175,1.283021994428707e-06
249,0.0,0.0,0.0,0.0,0.06739393870833331,5.980236957470905e-05,0.0,0.03559780118750001,1.9211603876088457e-05,0.0,-1.0001700719791666,1.2008609974783753e-06
274,0.0,0.0,0.0,0.0,0.06809043889583334,2.266594002216864e-05,0.0,0.035638173479166674,1.5245887914178293e-05,0.0,-1.000096638958333,9.095288056506662e-07
299,35.17100000000001,32.783,0.0,0.0,0.06792640685416669,4.889073238468554e-06,0.0,0.03564071660416666,3.4420345794369204e-06,0.0,-1.0002654393333328,1.0309714394717806e-06
324,6.198650000000001,14.0995,0.0,0.0,0.06768067677083334,1.2378020370987565e-05,0.0,0.03574689237499999,1.4956445550189247e-05,0.0,-1.000192006479166,9.659185235430905e-07
349,0.0,19.201999999999998,0.0,0.0,0.06773694360416667,0.00022271567514003533,0.0,0.035758018583333336,0.00020075175997335602,0.0,-0.9998973210833327,4.464222835591559e-06
374,0.0,32.7735,0.0,0.0,0.06786791485416668,0.00021622638715720462,0.0,0.036229451604166664,0.000182933017033024,0.0,-1.0000556310208333,4.685785870836929e-06
399,0.0,35.513999999999996,0.0,0.0,0.06721496585416668,0.0001499034732750172,0.0,0.035203297979166666,8.277781188355868e-05,0.0,-0.998888015729166,2.534262092716163e-05
424,0.0,39.254,1.0,0.0,0.06483268739583335,0.0004127045872008388,0.0,0.06008656812499999,0.0027900732212457107,0.0,-0.9930489858124991,0.00036321490087144693
449,0.0,96.1575,1.0,0.0,0.06374613443750002,0.0007106313568376852,0.0,0.07735919949999999,0.0025160642414673627,0.0,-0.9950230916874996,0.0003821419754200998
474,0.0,107.205,1.0,0.0,0.06610457100000001,0.0005039437618567477,0.0,0.05777359008333332,0.0006969774375559957,0.0,-0.999916076625,6.461112694563664e-05
499,0.0,113.85499999999999,1.0,0.0,0.06144205724999999,0.00013899785834125907,0.0,0.05604775743749999,0.0007254563447036748,0.0,-0.9997892378958332,3.3887892508120065e-05
524,0.0,122.115,1.0,0.0,0.06362311047916669,0.0015204308182862497,0.0,0.06539758047916666,0.0010318181773219587,0.0,-0.999824841770833,3.95612848476979e-05
549,0.0,165.35,1.0,0.0,0.06565062200000003,0.0014962129053534554,0.0,0.057525952687499986,0.0009509005938885847,0.0,-1.000367482520833,3.2384659113979494e-05
574,0.212735,173.71,1.0,0.0,0.06254800150000002,0.00011875934043977155,0.0,0.05844529470833332,0.0007269032994998087,0.0,-1.0003595352083334,3.99449186302156e-05
599,31.5215,202.425,1.0,0.0,0.06802781425000001,0.000305562734635873,0.0,0.06197897587499999,0.0007005045323860392,0.0,-0.9978348413124999,8.095695226556488e-05
624,28.3665,222.985,1.0,0.0,0.06935723625000002,0.0004114106362528626,0.0,0.05703035987499999,0.0008920551242362091,0.0,-0.998578389395833,9.356408826731067e-05
649,48.579499999999996,291.46000000000004,1.0,0.0,0.06960392002083339,0.00045627795379483277,0.0,0.061288833687499995,0.0005555235095679091,0.0,-1.000026067083333,6.127591223646948e-05
674,5.36765,285.745,1.0,0.0,0.07072385152083337,0.00028213133391614563,0.0,0.056509017979166666,0.00043210774188063455,0.0,-0.9985074996875,3.437386414064879e-05
699,4.82105,257.46500000000003,1.0,0.0,0.06875101720833332,9.319229114395596e-05,0.0,0.06633790331249999,0.00048497595448886556,0.0,-0.9983981450416662,8.765206279475026e-06
724,0.007165350000000001,278.19,1.0,0.0,0.06933275854166665,8.233614714500623e-05,0.0,0.06655661264583332,0.00044745018271223814,0.0,-0.9990460078333325,1.2207766058509587e-05
749,0.0,284.14,1.0,0.0,0.06924279527083332,0.00013335998471389595,0.0,0.06231562293749996,0.0005503959727642065,0.0,-0.9995857874791659,1.6262844031104967e-05
774,0.0,289.19,1.0,0.0,0.06984710689583333,0.00012847987266954573,0.0,0.06605084733333332,0.000575459539933435,0.0,-0.9994080861041662,1.688967321696433e-05
799,0.0,295.55,1.0,0.0,0.07014052068750001,0.00014022850484888877,0.0,0.06154950458333333,0.0003976350979460783,0.0,-0.999606450375,1.1896783535564829e-05
824,0.0,294.59000000000003,1.0,0.0,0.06968275702083335,0.00014509476369145167,0.0,0.06578572593750003,0.0002987806221429398,0.0,-0.9992081324166668,1.0520549332405465e-05
849,0.0,310.855,1.0,0.0,0.07015037541666669,0.0001864459902657302,0.0,0.060854276104166695,0.00034353369955917505,0.0,-0.9987726211666668,5.7446740786356826e-06
874,0.0,291.51,1.0,0.0,0.06925805414583334,0.0001875154813241316,0.0,0.06051381433333333,0.00036278087865718753,0.0,-0.9988327026458331,1.3191975614817684e-05
899,0.0,299.355,1.0,0.0,0.06960074106250003,0.00014058684182196356,0.0,0.06573422749999998,0.0003357532716930122,0.0,-0.9979775747083331,3.054417913921673e-05
