is_classified,medial_fsr1,median_fsr2,mean_x,mean_y,mean_z,var_x,var_y,var_z,e_x,e_y,e_z
0,0,0,0.078388,0.048507,-0.99906,9.59E-07,1.37E-06,9.34E-07,0.0061457,0.0023543,0.99812
0,0,0,0.078341,0.048274,-0.99908,5.46E-07,1.22E-06,9.21E-07,0.0061379,0.0023316,0.99817
0,0,0,0.078454,0.048694,-0.99914,4.15E-07,1.16E-06,1.03E-06,0.0061554,0.0023722,0.99828
0,0,0,0.078426,0.048637,-0.99895,4.68E-07,1.67E-06,8.45E-07,0.0061512,0.0023672,0.99791
0,0,0,0.078378,0.048324,-0.99911,5.97E-07,1.66E-06,7.92E-07,0.0061437,0.0023368,0.99823
0,0,0,0.078519,0.048457,-0.9993,7.81E-07,1.10E-06,7.55E-07,0.0061659,0.0023491,0.99859
0,0,0,0.078557,0.048518,-0.9993,7.70E-07,1.11E-06,6.70E-07,0.0061719,0.0023551,0.9986
0,0,0,0.078569,0.048765,-0.9994,1.92E-05,2.05E-05,1.51E-06,0.0061919,0.0023981,0.9988
0,0.00048453,0.018843,0.078574,0.048734,-0.99931,9.68E-05,8.10E-05,4.37E-06,0.0062687,0.0024544,0.99863
0,8.4642,39.884,0.07906,0.047926,-0.99915,0.00010337,9.41E-05,4.64E-06,0.0063516,0.0023891,0.9983
0,0.040139,62.316,0.079133,0.048008,-0.99923,2.88E-05,4.25E-05,2.16E-06,0.0062901,0.0023464,0.99846
0,0,71.242,0.079192,0.048295,-0.99929,8.25E-06,1.22E-05,1.20E-06,0.0062794,0.0023443,0.99857
0,0,76.67,0.079748,0.048193,-0.99926,7.14E-06,4.34E-06,1.47E-06,0.0063667,0.0023268,0.99853
0,12.284,96.08,0.079531,0.048025,-0.99926,1.28E-05,1.58E-05,1.29E-06,0.0063378,0.0023219,0.99851
1,7.8818,119.45,0.079552,0.049006,-0.99976,0.00017256,0.00022686,0.00016982,0.0064975,0.0026238,0.99969
1,0,146.58,0.077192,0.056034,-0.99868,0.00040743,0.00039513,0.00020635,0.0063575,0.0035267,0.99755
1,0,183.65,0.079424,0.058702,-0.99679,0.00041058,0.0006844,7.27E-05,0.0067102,0.0041161,0.99365
1,0,190.37,0.080303,0.056374,-0.99923,0.00033202,0.00060881,0.00018715,0.0067736,0.0037741,0.99864
1,0,204.86,0.075959,0.065465,-0.99991,0.00040361,0.0003106,0.00014965,0.0061649,0.0045898,0.99996
1,0,205.76,0.077336,0.062085,-0.99834,0.00030138,0.00058093,8.86E-06,0.0062759,0.0044233,0.9967
1,0,226.79,0.077929,0.055999,-0.99898,0.00011021,0.00050822,1.21E-05,0.0061809,0.0036335,0.99797
1,0,216.62,0.080816,0.06183,-0.9982,0.00030052,0.00037972,7.28E-05,0.0068255,0.0041947,0.99648
1,0,190.62,0.082162,0.053191,-0.99628,0.00044814,0.00044696,0.00012957,0.0071893,0.0032669,0.9927
1,0,245.27,0.077319,0.050033,-0.99681,0.00028294,0.00029089,6.84E-05,0.0062552,0.0027882,0.99369
1,0,259.08,0.079085,0.063166,-0.99813,0.00017185,0.00063148,6.96E-06,0.0064227,0.0046082,0.99628
1,0,237.82,0.081045,0.062035,-0.99885,0.00017831,0.00064281,3.04E-05,0.0067428,0.0044777,0.99773
1,0,239.4,0.078629,0.065494,-1.0003,0.00025246,0.00038895,0.00014802,0.0064297,0.0046703,1.0008
1,0,229.43,0.079213,0.068477,-0.99978,0.00023295,0.00040906,0.00013275,0.0065028,0.0050897,0.99969
1,0,255.33,0.078404,0.061275,-0.99838,0.00019964,0.00033097,1.37E-05,0.0063426,0.0040787,0.99678
1,0,250.25,0.080306,0.065124,-0.99764,0.00025776,0.00027618,3.69E-05,0.0067014,0.0045116,0.99531
1,0,243.01,0.082186,0.060265,-0.99799,0.00019947,0.00026291,8.67E-05,0.0069498,0.0038893,0.99608
1,0,274.18,0.077049,0.059905,-0.999,0.00032332,0.00031811,0.00032749,0.0062532,0.0039001,0.99832
1,0,271.04,0.076297,0.066666,-0.99864,0.00031501,0.00031443,0.00027737,0.0061297,0.0047522,0.99756
1,0,279.9,0.077305,0.061957,-0.99947,0.00016706,0.0002648,3.72E-05,0.0061397,0.0040979,0.99897
1,0,281.19,0.077889,0.062473,-0.99909,0.00013021,0.00036695,5.02E-05,0.0061943,0.0042621,0.99822
1,0,261.23,0.079587,0.060676,-0.99825,0.00017699,0.00042754,3.09E-05,0.0065074,0.0041002,0.99653
1,0,276.52,0.077057,0.059711,-0.99896,0.00025921,0.00054442,1.77E-05,0.0061916,0.0040984,0.99794
1,0,267.44,0.077207,0.061692,-0.99884,0.00015946,0.00057115,1.31E-05,0.0061171,0.0043652,0.99769
1,0,275.57,0.077255,0.056902,-0.99879,0.00012956,0.00028642,1.38E-05,0.0060951,0.0035183,0.99759
1,0,296.27,0.075412,0.064722,-0.9989,0.00011916,0.00030867,7.87E-06,0.0058036,0.0044912,0.9978
1,0,288.57,0.079212,0.058434,-0.99776,0.00017519,0.00049932,3.33E-05,0.006446,0.0039035,0.99555
1,0,309.17,0.077432,0.056201,-0.99744,0.00032763,0.00042496,3.31E-05,0.0063166,0.0035746,0.99492
1,0,313,0.075274,0.066006,-0.99807,0.00032011,0.00031819,9.59E-06,0.0059795,0.0046684,0.99615
1,0,283.1,0.077439,0.061472,-0.9978,0.00020739,0.00028137,1.29E-05,0.0061999,0.0040543,0.99561
0,0,98.638,0.076304,0.064643,-0.99838,0.00016604,0.00021542,1.93E-05,0.0059849,0.0043896,0.99679
0,0,102.07,0.07542,0.061436,-1.0011,0.00037824,0.00034869,4.82E-05,0.0060585,0.0041158,1.0022
0,0,130.11,0.075886,0.048155,-1.0012,0.0002898,0.00019553,3.65E-05,0.0060424,0.0025104,1.0025
1,0,207.31,0.077705,0.038979,-0.99941,4.96E-05,0.00010459,7.88E-06,0.0060867,0.0016218,0.99882
1,0,215.45,0.077853,0.050836,-1,0.00013064,0.00060411,6.80E-05,0.0061889,0.0031758,1.0001
1,0,202.44,0.077186,0.061237,-0.99979,0.00029798,0.0004786,0.00015684,0.0062495,0.0042186,0.99974
1,0,246.66,0.075657,0.05781,-0.99972,0.00027827,0.00032842,0.0001117,0.0059965,0.0036636,0.99956
1,0,236.87,0.074775,0.068538,-0.99929,0.00013857,0.00037412,2.98E-05,0.005727,0.0050637,0.99861
1,0,236.01,0.076556,0.066614,-0.999,0.00014679,0.000463,2.91E-05,0.0060046,0.0048908,0.99803
