is_walking,median_fsr1,median_fsr2,mean_x,mean_y,mean_z,var_x,var_y,var_z,e_x,e_y,e_z
0,-0.17426,-2.1868,0.78225,-0.80398,-0.0037968,-1.2898,-1.878,-0.65905,0.15337,-1.165,-0.019025
0,-0.17426,-2.1868,0.75756,-0.83572,-0.026815,-1.2927,-1.8789,-0.65926,0.12911,-1.1919,0.0098097
0,-0.17426,-2.1868,0.81692,-0.77851,-0.095869,-1.2937,-1.8792,-0.6575,0.18355,-1.1438,0.073246
0,-0.17426,-2.1868,0.80221,-0.78628,0.1228,-1.2933,-1.8763,-0.66048,0.17048,-1.1497,-0.14013
0,-0.17426,-2.1868,0.777,-0.82891,-0.061342,-1.2924,-1.8764,-0.66133,0.14715,-1.1858,0.044411
0,-0.17426,-2.1868,0.85106,-0.81079,-0.28001,-1.2911,-1.8796,-0.66192,0.2162,-1.1712,0.25202
0,-0.17426,-2.1868,0.87102,-0.80248,-0.28001,-1.2911,-1.8795,-0.66329,0.23487,-1.1641,0.25779
0,-0.17426,-2.1868,0.87732,-0.76884,-0.3951,-1.1607,-1.7688,-0.64979,0.29707,-1.1131,0.37313
0,-0.17397,-2.1866,0.87994,-0.77306,-0.29152,-0.61148,-1.4233,-0.60381,0.53595,-1.0464,0.27509
0,4.8159,-1.8291,1.1352,-0.88312,-0.10738,-0.56498,-1.3485,-0.59947,0.7938,-1.1238,0.08478
0,-0.1506,-1.628,1.1736,-0.87195,-0.19945,-1.0928,-1.6431,-0.63934,0.60252,-1.1744,0.17705
0,-0.17426,-1.5479,1.2045,-0.83286,-0.2685,-1.2382,-1.8162,-0.65477,0.56923,-1.1769,0.24049
0,-0.17426,-1.4993,1.4966,-0.84675,-0.23398,-1.2461,-1.8611,-0.65043,0.84077,-1.1976,0.21742
0,7.068,-1.3252,1.3826,-0.86963,-0.23398,-1.206,-1.7956,-0.65332,0.75088,-1.2034,0.20588
1,4.4726,-1.1157,1.3936,-0.73601,-0.80943,-0.075286,-0.59029,2.0558,1.2476,-0.84556,0.88638
1,-0.17426,-0.87238,0.15407,0.22126,0.43355,1.587,0.37069,2.643,0.81216,0.22472,-0.34774
1,-0.17426,-0.53996,1.3264,0.58466,2.6087,1.6093,2.0227,0.4946,1.9092,0.92338,-2.5968
1,-0.17426,-0.47971,1.7881,0.26757,-0.19945,1.0533,1.591,2.3344,2.1064,0.51798,0.28085
1,-0.17426,-0.34977,-0.49355,1.5058,-0.98206,1.56,-0.11205,1.7316,0.21309,1.4849,1.0421
1,-0.17426,-0.3417,0.2297,1.0454,0.82485,0.83645,1.4318,-0.53163,0.55835,1.2875,-0.83793
1,-0.17426,-0.15312,0.54117,0.21649,0.088275,-0.51657,1.0165,-0.47955,0.26286,0.35132,-0.10553
1,-0.17426,-0.24432,2.0575,1.0107,0.98598,0.83036,0.28268,0.49621,2.2678,1.0166,-0.9648
1,-0.17426,-0.47746,2.7645,-0.16598,3.1957,1.8752,0.66669,1.4088,3.3994,-0.083243,-3.1447
1,-0.17426,0.012587,0.22077,-0.59613,2.5857,0.70594,-0.22462,0.42548,0.49396,-0.65069,-2.5738
1,-0.17426,0.13642,1.1483,1.1927,1.0665,-0.080311,1.7205,-0.56218,1.015,1.5067,-1.0801
1,-0.17426,-0.054218,2.1778,1.0386,0.23789,-0.034589,1.7852,-0.18538,2.0106,1.352,-0.24393
1,-0.17426,-0.04005,0.90883,1.5098,-1.4309,0.49021,0.3354,1.7054,1.0367,1.5803,1.5265
1,-0.17426,-0.12945,1.2156,1.9161,-0.83244,0.35213,0.45024,1.4599,1.2641,2.0775,0.88638
1,-0.17426,0.1028,0.79065,0.93512,0.77882,0.11638,0.0042773,-0.45383,0.76581,0.87905,-0.79179
