top_x,top_y,top_z,top_timestamp,side_x,side_y,side_z,side_timestamp,front_side_x,front_side_y,front_side_z,front_side_timestamp,front_x,front_y,front_z,front_timestamp,fsr_bottom,fsr_outside
0.0749664307,0.0372314453,-0.999130249,87610.0229226667,0.0066833496,-0.9959869385,-0.0374450684,7068.0282015,0.0366821289,-0.9993438721,-0.0124053955,33565.009723625,0.0299072266,-0.9964599609,-0.0156555176,14587.0269719167,0,0
0.0661621094,0.0285949707,-0.999710083,87610.0638156667,0.0068969727,-0.9972991943,-0.0380554199,7068.0695985,0.0369567871,-0.9992370605,-0.0122375488,33565.051227625,0.0308380127,-0.9978942871,-0.0156860352,14587.0687499167,0,0
0.0721588135,0.0234375,-0.9990539551,87610.1047396667,0.0050964355,-0.9978485107,-0.036315918,7068.1109955,0.0363311768,-0.9994659424,-0.0119018555,33565.092762625,0.0304412842,-0.9975128174,-0.0156097412,14587.1105589167,0,0
0.0672454834,0.0356750488,-1.0004577637,87610.1456636667,0.007232666,-0.9961853027,-0.0378265381,7068.1522415,0.0371856689,-0.9990081787,-0.0116882324,33565.134265625,0.030456543,-0.9970397949,-0.0158538818,14587.1523379167,0,0
0.0645599365,0.0281219482,-1.0008850098,87610.1865876667,0.0059967041,-0.9979248047,-0.0360565186,7068.1936415,0.0373382568,-1.000289917,-0.0119628906,33565.175769625,0.0303955078,-0.9974212646,-0.0162353516,14587.1941469167,0,0
0.072265625,0.0247344971,-0.9999847412,87610.2275116667,0.0054016113,-0.9972076416,-0.0388031006,7068.2350405,0.0368499756,-0.999130249,-0.0121154785,33565.217273625,0.0298156738,-0.9970092773,-0.0152740479,14587.2359559167,0,0
0.0723114014,0.0311737061,-1.0004119873,87610.2684366667,0.0076141357,-0.9984741211,-0.0376281738,7068.2764375,0.0371398926,-0.9990692139,-0.0114440918,33565.258808625,0.0303955078,-0.9976043701,-0.0160064697,14587.27772175,0,0
0.0532073975,0.0438537598,-1.0015106201,87610.3093606667,0.0094299316,-0.9968719482,-0.0381011963,7068.3178385,0.0365753174,-0.9999694824,-0.0114898682,33565.3003056667,0.0298614502,-0.9970550537,-0.0161132813,14587.31953075,0,0
0.0758666992,0.0322113037,-1.0005340576,87610.3502846667,0.0080871582,-0.9962005615,-0.0364990234,7068.3590865,0.0366516113,-0.9989929199,-0.0122833252,33565.3418396667,0.0312347412,-0.997177124,-0.0157928467,14587.36133975,0,0
0.0613250732,0.0271759033,-1.001739502,87610.3911745,0.0064239502,-0.9962158203,-0.0380096436,7068.4004845,0.0363006592,-0.9991760254,-0.0113067627,33565.3833436667,0.0301055908,-0.9974365234,-0.0165100098,14587.40311775,0,0
0.0751342773,0.0223083496,-1.0011291504,87610.4320985,0.0065460205,-0.9962310791,-0.0382385254,7068.4418835,0.0373535156,-0.9991760254,-0.0113372803,33565.4248476667,0.0301055908,-0.9965057373,-0.0163116455,14587.44492675,0,0
0.0709075928,0.0355072021,-1.0022277832,87610.4730225,0.0073699951,-0.9973602295,-0.0376434326,7068.4832815,0.0360717773,-0.9990844727,-0.0120239258,33565.4663816667,0.0293426514,-0.9965057373,-0.0154724121,14587.48670575,0,0
0.0586242676,0.0277862549,-1.0033569336,87610.5139465,0.0095825195,-0.9968414307,-0.0369415283,7068.5246705,0.0362701416,-0.999710083,-0.0124969482,33565.5078856667,0.0302886963,-0.9964752197,-0.0157470703,14587.52851475,0,0
0.0696716309,0.0460510254,-0.9999847412,87610.5548705,0.0067901611,-0.9976654053,-0.037979126,7068.5659265,0.0367584229,-0.9991912842,-0.0118560791,33565.5493896667,0.0297851563,-0.9972991943,-0.0164489746,14587.57029375,0,0
0.0730285645,0.01121521,-1.0027008057,87610.5957945,0.0062408447,-0.9983673096,-0.0380706787,7068.6073245,0.0369720459,-0.9997558594,-0.0127716064,33565.5909246667,0.0305633545,-0.9972839355,-0.0162353516,14587.61210275,0,0
0.0679473877,0.0372009277,-0.9985656738,87610.6367185,0.0069274902,-0.9959411621,-0.037902832,7068.6487185,0.0380096436,-0.9993438721,-0.0124664307,33565.6324276667,0.0309143066,-0.9968261719,-0.016204834,14587.65391175,0,0
