is_walking,fsr_bottom,fsr_top,top_x,top_y,top_z,top_timestamp,side_x,side_y,side_z,side_timestamp,corner_x,corner_y,corner_z,corner_timestamp,front_x,front_y,front_z,front_timestamp
0,0,0,0.0974731445,0.0586700439,-1.0009155273,87944.067039875,0.0139465332,-0.9950408936,-0.037109375,8147.05195825,0.0549468994,-0.9994659424,0.0247497559,34659.0736164167,0.0475006104,-0.9927215576,0.0431060791,14836.076438125
0,0,0,0.103225708,0.0444030762,-1.0058898926,87944.107932875,0.0145874023,-0.9966125488,-0.0361022949,8147.09335225,0.0489654541,-1.0032043457,-0.0033416748,34659.1151204167,0.0425415039,-0.9884185791,0.0179138184,14836.118247125
0,0,0,0.0467834473,0.0347747803,-0.9968109131,87944.148857875,0.0142211914,-0.9966888428,-0.0354614258,8147.13475225,0.046661377,-1.0016937256,0.0364532471,34659.1566244167,0.0457763672,-1.0045928955,-0.0032196045,14836.160056125
0,0,0,0.0559692383,0.0680541992,-0.9929046631,87944.189781875,0.0127105713,-0.9968566895,-0.0344696045,8147.17613925,0.0505065918,-1.0017242432,0.002166748,34659.1981584167,0.019821167,-1.0023803711,-0.0003814697,14836.201835125
0,0,0,0.034942627,0.0427398682,-1.0006408691,87944.230705875,0.0149841309,-0.9965515137,-0.0373382568,8147.21752325,0.027923584,-0.9976043701,-0.0069274902,34659.2396624167,0.0314941406,-1.0163421631,-0.0034179688,14836.243644125
0,0,0,0.0519866943,0.1005249023,-0.9925231934,87944.271629875,0.0134887695,-0.9980316162,-0.0348358154,8147.25875925,0.0350189209,-1.0017242432,-0.0236816406,34659.281190125,0.0613555908,-1.0049591064,0.0340423584,14836.285453125
0,0,0,0.1111297607,0.0860443115,-1.0336303711,87944.312553875,0.0128631592,-0.9968414307,-0.0348815918,8147.30014325,0.0461120605,-0.9969482422,0.0151062012,34659.322694125,0.0493927002,-0.9893035889,0.0303497314,14836.327232125
0,0,0,0.0775146484,0.0766906738,-0.9967651367,87944.353477875,0.0129699707,-0.9960632324,-0.0347747803,8147.34152925,0.0453338623,-0.996307373,0.0008392334,34659.364198125,0.0875701904,-1.0026855469,0.0422973633,14836.369041125
0,0,0,0.05809021,0.1186218262,-0.9895935059,87944.394370875,0.0121002197,-0.9983520508,-0.0350494385,8147.38291625,0.0408630371,-0.9950561523,0.0164489746,34659.405702125,0.0790863037,-0.9878387451,0.0452880859,14836.410850125
0,0,0,0.0563354492,0.1166381836,-0.9870758057,87944.435294875,0.0151519775,-0.998336792,-0.0357208252,8147.42428725,0.0335235596,-1.0087738037,0.0008087158,34659.447206125,0.0591125488,-0.9833984375,0.0303497314,14836.452628125
0,0,0,0.0459442139,0.1290283203,-0.9894104004,87944.476219875,0.0132446289,-0.9960327148,-0.0359649658,8147.465409,0.0381011963,-1.0003204346,-0.0115661621,34659.488710125,0.0498962402,-0.9988861084,0.0154724121,14836.494438125
0,0,0,0.0834350586,0.039642334,-0.9967956543,87944.517143875,0.0129852295,-0.996307373,-0.0361785889,8147.506801,0.0501861572,-0.9908447266,-0.0134735107,34659.530214125,0.040435791,-1.0041351318,-0.0153198242,14836.536212375
0,0,0,0.0947723389,0.0118713379,-1.0098114014,87944.558036875,0.0140380859,-0.9973907471,-0.036895752,8147.548186,0.0350494385,-1.0071563721,0.0171966553,34659.571718125,0.0573120117,-0.9987945557,-0.0326690674,14836.578021375
0,0,0,0.0564117432,0.0519104004,-0.984375,87944.598960875,0.0132141113,-0.9973754883,-0.0367584229,8147.589576,0.0343017578,-0.9925079346,0.0473175049,34659.613222125,0.0425262451,-0.9997711182,0.0027770996,14836.619830375
0,0,0,0.0487976074,0.102722168,-0.9914398193,87944.639884875,0.013458252,-0.9970245361,-0.0356903076,8147.630982,0.0479888916,-1.0036010742,0.0173339844,34659.654725125,0.0498809814,-0.9940185547,0.0428009033,14836.661609375
0,0,0,0.0899353027,0.0503845215,-1.0042114258,87944.6807835,0.0133056641,-0.9966278076,-0.0351257324,8147.672239,0.040435791,-0.9959869385,-0.0092926025,34659.696229125,0.0557098389,-0.9925994873,0.0539855957,14836.703418375
0,0,0,0.0297393799,0.036315918,-1.0071716309,87944.7217075,0.0125579834,-0.9971008301,-0.0360412598,8147.713641,0.0425262451,-0.9933013916,0.0067596436,34659.737733125,0.0665893555,-0.9899139404,0.0305480957,14836.745227375
0,0,0,0.0855865479,0.1425933838,-0.9858398438,87944.7626325,0.0124664307,-0.9966888428,-0.036026001,8147.755043,0.054397583,-1.0012817383,0.0238037109,34659.779237125,0.0578155518,-0.9936676025,0.0154418945,14836.787006375
0,0,0,0.0561218262,0.0248565674,-1.0034179688,87944.8035565,0.0138092041,-0.9964752197,-0.0352478027,8147.796436,0.0595245361,-0.9976806641,0.0130310059,34659.820741125,0.0444030762,-0.9980773926,0.0131988525,14836.828815375
0,0,0,0.0809173584,-0.0416107178,-1.0052337646,87944.8444495,0.0129699707,-0.9976043701,-0.0360107422,8147.837836,0.0425872803,-1.0003204346,0.0037536621,34659.862245125,0.0368804932,-1.0099945068,0.0199127197,14836.870624375
0,0,0,0.0726318359,0.1111297607,-0.9839324951,87944.8853735,0.0127410889,-0.9975128174,-0.0366821289,8147.879087,0.0489196777,-0.9924926758,0.0010528564,34659.903749125,0.0373687744,-0.9964141846,0.015625,14836.912402375
0,0,0,0.0546112061,0.176864624,-0.9519500732,87944.9262975,0.0133666992,-0.9966430664,-0.0339355469,8147.920488,0.0255737305,-0.9980316162,0.0096435547,34659.945283125,0.0491333008,-0.9996032715,0.0335388184,14836.954211375
0,0,0,0.0422058105,0.2414550781,-0.9325714111,87944.9672215,0.0139160156,-0.9964599609,-0.0344085693,8147.96189,0.0252685547,-1.0054473877,0.0065155029,34659.986787125,0.0578308105,-0.9932250977,0.0553131104,14836.996020375
0,0,0,0.06690979,0.2197723389,-0.9455566406,87945.0081455,0.013168335,-0.9974060059,-0.0345306396,8148.003292,0.0466461182,-0.9965209961,0.0016021729,34660.028291125,0.0407867432,-0.9975738525,0.0058746338,14837.037799375
0,0,0,0.0637207031,0.1175689697,-0.9630432129,87945.0490705,0.0134887695,-0.9969787598,-0.0351715088,8148.044693,0.0523986816,-0.9947052002,0.0275726318,34660.069795125,0.0446472168,-0.9987945557,-0.0359954834,14837.079608375
0,0,0,0.0820617676,0.1065673828,-0.9720916748,87945.0899635,0.0138244629,-0.9971466064,-0.0340118408,8148.085942,0.0473480225,-0.998626709,0.0071868896,34660.111299125,0.0511016846,-0.9959564209,-0.0348510742,14837.121387375
0,0,0,0.0725402832,0.0963439941,-0.9802093506,87945.1308875,0.013885498,-0.9968414307,-0.0340270996,8148.127338,0.0281982422,-1.0083465576,0.0164794922,34660.152803125,0.0486450195,-0.9992828369,-0.0206298828,14837.163196375
0,0,0,0.0766906738,0.0652160645,-0.9949493408,87945.1718115,0.0143585205,-0.9978179932,-0.0351409912,8148.16874,0.0348510742,-0.9962310791,0.0012969971,34660.194307125,0.0390472412,-0.9998168945,0.0299835205,14837.205005375
0,0,0,0.0552825928,0.0437316895,-1.0000457764,87945.2127355,0.0155334473,-0.9968566895,-0.0354919434,8148.210139,0.061050415,-0.9969940186,-0.0124816895,34660.235811125,0.0710296631,-0.9928894043,0.0358886719,14837.246783375
0,0,0,0.0450439453,0.0598144531,-1.0020751953,87945.2536595,0.0143127441,-0.9951019287,-0.0352783203,8148.251536,0.0629730225,-0.9934692383,0.0242614746,34660.27732225,0.0513305664,-0.9977264404,0.0112915039,14837.288592375
0,0,0,0.0623779297,0.072052002,-0.9920196533,87945.2945535,0.0130157471,-0.9960021973,-0.0350189209,8148.292777,0.0310058594,-0.9975738525,0.0031738281,34660.31879525,0.043258667,-0.9980316162,-0.0055389404,14837.330402375
0,0,0,0.0741424561,0.0779724121,-0.9945831299,87945.3354775,0.0136260986,-0.9959716797,-0.0351409912,8148.334169,0.0615386963,-0.9991607666,-0.0180664063,34660.36033025,0.0528564453,-0.9958496094,-0.0233764648,14837.372180375
0,0,0,0.0761871338,0.0517730713,-0.9942626953,87945.3764015,0.0142059326,-0.9946899414,-0.0343322754,8148.375565,-0.0083312988,-1.0003967285,0.0100402832,34660.40183425,0.0464935303,-0.9968414307,-0.0508422852,14837.413989375
0,0,0,0.0527648926,0.0095672607,-1.0064697266,87945.4173255,0.0136413574,-0.9975585938,-0.0355377197,8148.416962,0.0711517334,-1.0021057129,0.0240631104,34660.44333825,0.0547790527,-0.993927002,-0.0552978516,14837.455768375
0,0,0,0.0626220703,0.0381011963,-1.0006408691,87945.4582495,0.0139465332,-0.9951019287,-0.0349578857,8148.458365,0.072845459,-1.0050354004,0.0236053467,34660.48484225,0.0471801758,-0.9949035645,-0.0394897461,14837.497577375
0,0,0,0.0576934814,0.0187835693,-1.003692627,87945.4991735,0.0137634277,-0.9967041016,-0.0344390869,8148.499606,0.0702056885,-1.0003662109,0.0660400391,34660.52634625,0.0510559082,-0.9955444336,-0.0210723877,14837.5393805417
0,0,0,0.0490264893,0.0659484863,-0.9981994629,87945.5400675,0.0135192871,-0.996887207,-0.0356445313,8148.541003,0.0684509277,-0.999420166,0.0395355225,34660.56784925,0.0553894043,-1.0003204346,-0.0082397461,14837.5811585417
0,0,0,0.0817718506,0.0316619873,-0.995513916,87945.5809915,0.0143890381,-0.9965515137,-0.035369873,8148.582407,0.0706176758,-0.9904327393,0.03175354,34660.60935325,0.0371856689,-1.0012359619,0.0054931641,14837.6229685417
0,0,0,0.0758514404,0.0128631592,-0.9968261719,87945.6219155,0.013885498,-0.9956207275,-0.0366210938,8148.623812,0.0422363281,-1.0007476807,0.0202941895,34660.65085725,0.0647125244,-0.9941558838,0.0029296875,14837.6647775417
0,0,0,0.0371856689,0.1249389648,-0.9976043701,87945.6628395,0.0141296387,-0.9965515137,-0.0352630615,8148.665209,0.0617675781,-0.9997253418,0.0208892822,34660.69236125,0.0342254639,-0.9944000244,-0.0025634766,14837.7065555417
