is_walking,medial_fsr1,median_fsr2,mean_x,mean_y,mean_z,var_x,var_y,var_z,e_x,e_y,e_z
0,0,0,0.021046,-0.99657,-0.027802,7.34E-07,6.19E-07,1.08E-06,0.00044364,0.99315,0.00077398
0,0,0,0.021062,-0.99653,-0.028064,7.12E-07,6.84E-07,8.67E-07,0.0004443,0.99307,0.00078842
0,0,0,0.020947,-0.99648,-0.02805,6.58E-07,7.67E-07,9.03E-07,0.00043941,0.99298,0.00078769
0,0,0,0.020861,-0.99651,-0.027997,6.80E-07,5.95E-07,8.89E-07,0.00043583,0.99303,0.00078469
0,0,0,0.020878,-0.9964,-0.028135,7.23E-07,3.06E-07,1.06E-06,0.00043662,0.99281,0.00079263
0,0,0,0.020761,-0.99636,-0.028085,7.40E-07,5.33E-07,1.34E-06,0.00043174,0.99274,0.0007901
0,0,0,0.020828,-0.99624,-0.02803,6.51E-07,8.27E-07,1.15E-06,0.00043444,0.99249,0.00078683
0,0,0,0.020507,-0.99543,-0.028729,3.41E-05,1.19E-05,8.82E-05,0.00045398,0.99089,0.00091168
0,0.00048453,0.018843,0.018875,-0.99549,-0.028401,5.62E-05,2.76E-05,0.00019711,0.0004113,0.99102,0.00099963
0,8.4642,39.884,0.019116,-0.99641,-0.027361,2.89E-05,1.70E-05,0.00011831,0.00039371,0.99285,0.00086445
0,0.040139,62.316,0.020101,-0.99645,-0.027288,6.92E-06,1.58E-06,1.14E-05,0.00041082,0.99291,0.00075585
0,0,71.242,0.019928,-0.99665,-0.02685,1.96E-06,9.91E-07,3.83E-06,0.00039905,0.99331,0.00072466
0,0,76.67,0.020022,-0.99673,-0.026848,3.78E-06,9.09E-07,5.39E-06,0.00040457,0.99348,0.00072612
0,12.284,96.08,0.020182,-0.99642,-0.028755,6.23E-05,1.05E-05,8.98E-05,0.00046829,0.99287,0.00091477
1,7.8818,119.45,0.020835,-0.9964,-0.030439,0.00027115,4.21E-05,0.00035261,0.00069959,0.99286,0.0012718
1,0,146.58,0.028136,-0.99626,-0.026869,0.00060901,3.54E-05,0.00036974,0.001388,0.99258,0.001084
1,0,183.65,0.028178,-0.99595,-0.025461,0.00053211,1.57E-05,0.00019261,0.001315,0.99193,0.00083687
1,0,190.37,0.031428,-0.99502,-0.027343,0.00034092,2.33E-05,0.00025226,0.0013216,0.99008,0.00099464
1,0,204.86,0.030532,-0.9957,-0.026169,0.00038172,1.53E-05,0.00018676,0.001306,0.99144,0.00086769
1,0,205.76,0.027354,-0.99685,-0.026015,0.00038843,1.05E-05,0.00010229,0.0011286,0.99373,0.00077695
1,0,226.79,0.036573,-0.99646,-0.022309,0.00026184,8.41E-06,0.00013527,0.001594,0.99295,0.00063014
1,0,216.62,0.029551,-0.99608,-0.021714,0.00026618,5.95E-06,0.00015914,0.0011339,0.99218,0.00062732
1,0,190.62,0.024462,-0.99651,-0.026085,0.00020005,9.11E-06,0.00022122,0.00079429,0.99304,0.00089705
1,0,245.27,0.032098,-0.99694,-0.025089,0.00031937,6.03E-06,0.00016678,0.001343,0.99389,0.00079276
1,0,259.08,0.032311,-0.9964,-0.024454,0.00046296,6.20E-06,0.0001186,0.0014973,0.99282,0.00071415
1,0,237.82,0.037014,-0.99605,-0.024669,0.00047157,1.38E-05,0.0001255,0.0018318,0.99213,0.00073145
1,0,239.4,0.037363,-0.99617,-0.024345,0.00040149,1.22E-05,9.37E-05,0.0017891,0.99237,0.00068442
1,0,229.43,0.031647,-0.99633,-0.024413,0.00031872,1.13E-05,0.00011627,0.0013136,0.99269,0.00070986
1,0,255.33,0.039978,-0.99627,-0.021775,0.00030669,1.07E-05,0.00012996,0.0018986,0.99256,0.00060142
1,0,250.25,0.035075,-0.9966,-0.020866,0.00028977,3.40E-06,8.51E-05,0.001514,0.99321,0.00051872
1,0,243.01,0.030865,-0.99682,-0.024006,0.00024798,1.93E-05,0.00034581,0.0011955,0.99366,0.00091487
1,0,274.18,0.038797,-0.9963,-0.024024,0.00034452,1.83E-05,0.00034157,0.0018425,0.99263,0.00091162
1,0,271.04,0.033729,-0.99568,-0.022635,0.0003776,5.07E-06,7.64E-05,0.0015074,0.99138,0.00058716
1,0,279.9,0.034487,-0.99583,-0.022229,0.00041911,5.56E-06,8.84E-05,0.0015997,0.99167,0.00058065
1,0,281.19,0.034633,-0.99603,-0.023319,0.0003671,4.33E-06,8.16E-05,0.0015589,0.99207,0.00062364
1,0,261.23,0.030925,-0.99618,-0.025105,0.00032224,6.29E-06,8.71E-05,0.0012719,0.99238,0.00071554
1,0,276.52,0.031487,-0.99675,-0.024325,0.0003532,3.77E-06,7.09E-05,0.0013372,0.99351,0.00066116
1,0,267.44,0.028799,-0.99697,-0.024295,0.0002337,7.38E-06,7.91E-05,0.0010582,0.99395,0.00066766
1,0,275.57,0.035959,-0.99619,-0.024774,0.00021746,9.24E-06,8.95E-05,0.001506,0.9924,0.00070138
1,0,296.27,0.032859,-0.99603,-0.025091,0.00047377,5.51E-06,8.73E-05,0.0015436,0.99208,0.00071509
1,0,288.57,0.029446,-0.99617,-0.025777,0.00047165,9.71E-06,0.00017663,0.0013289,0.99236,0.00083741
1,0,309.17,0.034482,-0.99621,-0.025843,0.00020599,7.34E-06,0.00015789,0.0013907,0.99244,0.00082247
1,0,313,0.032652,-0.99638,-0.026388,0.0001369,4.08E-06,6.49E-05,0.0012002,0.99278,0.00075986
1,0,283.1,0.036283,-0.99602,-0.025408,0.00016413,4.72E-06,6.21E-05,0.0014771,0.99206,0.00070636
